,timeUS,lat,lon,alt
1175,68734032,-35.3632674,149.1652374,585.6099853515625
1176,68754025,-35.363268,149.1652374,585.780029296875
1177,68774019,-35.3632687,149.1652374,585.969970703125
1178,68794012,0.0,0.0,0.0
1180,68814005,-35.3632673,149.1652374,585.57
1182,68833998,-35.3632713,149.1652374,586.7000122070312
1183,68853992,-35.3632724,149.1652374,586.989990234375
1184,68873985,-35.3632736,149.1652374,587.2999877929688
1185,68893978,-35.3632749,149.1652374,587.6400146484375
1187,68913972,-35.3632762,149.1652374,588.010009765625
1188,68933965,-35.3632778,149.1652374,588.4000244140625
1189,68953958,-35.3632793,149.1652374,588.8099975585938
1190,68974951,-35.3632811,149.1652374,589.27001953125
1191,68994944,-35.3632829,149.1652374,589.739990234375
1192,69014938,0.0,0.0,0.0
1195,69034931,-35.363287,149.1652374,590.739990234375
1196,69054924,-35.363289,149.1652374,591.2899780273438
1197,69074917,-35.3632914,149.1652374,591.8499755859375
1198,69094911,-35.3632938,149.1652374,592.4500122070312
1200,69114904,-35.3632963,149.1652374,593.0700073242188
1201,69134897,-35.3632988,149.1652373,593.7100219726562
1202,69154891,-35.3633017,149.1652373,594.3800048828125
1203,69174884,-35.3633045,149.1652373,595.0800170898438
1204,69194877,-35.3633075,149.1652373,595.7999877929688
1205,69214870,0.0,0.0,0.0
1208,69234864,-35.3633139,149.1652373,597.3300170898438
1209,69254857,-35.3633173,149.1652373,598.1300048828125
1210,69274850,-35.3633207,149.1652373,598.9600219726562
1211,69294844,-35.3633243,149.1652373,599.8099975585938
1213,69314837,-35.3633282,149.1652372,600.6900024414062
1214,69334830,-35.3633321,149.1652372,601.5999755859375
1215,69354823,-35.3633361,149.1652372,602.530029296875
1216,69374817,-35.3633401,149.1652372,603.489990234375
1217,69394810,-35.3633444,149.1652372,604.469970703125
1218,69414803,0.0,0.0,0.0
1221,69434796,-35.3633534,149.165237,606.510009765625
1222,69454790,-35.363358,149.165237,607.5700073242188
1223,69474783,-35.3633628,149.165237,608.6500244140625
1224,69494776,-35.3633677,149.165237,609.760009765625
1226,69514770,-35.3633728,149.165237,610.9000244140625
1227,69534763,-35.3633778,149.165237,612.0499877929688
1228,69554756,-35.3633832,149.165237,613.239990234375
1229,69574749,-35.3633886,149.165237,614.4500122070312
1230,69594743,-35.3633941,149.165237,615.6799926757812
1231,69614736,0.0,0.0,0.0
1234,69634729,-35.3634056,149.1652369,618.219970703125
1235,69654723,-35.3634115,149.1652369,619.52001953125
1236,69674716,-35.3634175,149.1652369,620.8499755859375
1237,69694709,-35.3634237,149.1652369,622.2000122070312
1239,69714702,-35.3634299,149.1652369,623.5700073242188
1240,69734696,-35.3634362,149.1652368,624.969970703125
1241,69754689,-35.3634428,149.1652368,626.3900146484375
1242,69774682,-35.3634495,149.1652368,627.8400268554688
1243,69794676,-35.3634562,149.1652368,629.2999877929688
1244,69814669,0.0,0.0,0.0
1247,69834662,-35.3634701,149.1652366,632.2999877929688
1248,69854655,-35.3634773,149.1652366,633.8300170898438
1249,69874649,-35.3634845,149.1652365,635.3900146484375
1250,69894642,-35.3634918,149.1652365,636.9600219726562
